|hotel_name|hotel_loc|hotel_desc|hotel_url
0|Ocean Drive Barcelona|Carrer d'Aragó, 300, Eixample, 08009 Barcelona, Spain|"You're eligible for a Genius discount at Ocean Drive Barcelona! To save at this property, all you have to do is sign in.
Ocean Drive Barcelona features air-conditioned rooms with satellite flat-screen TV in the Eixample district of Barcelona. Boasting a 24-hour front desk, this property also provides guests with a seasonal outdoor pool. Guests can enjoy a selection of international cuisine in the in-house restaurant.
At the hotel, each room is fitted with a desk. Featuring a private bathroom, rooms at Ocean Drive Barcelona also offer free WiFi. All guest rooms include a wardrobe.
Buffet and à la carte breakfast options are available every morning at the accommodation.
Guests will have free access to Urquinaona Holmes Place Gym, 800 m from the hotel. Ocean Drive Barcelona offers a terrace.
Casa Batllo is 300 m from the hotel. Barcelona El Prat Airport is 13 km away."|https://www.booking.com/hotel/es/od-barcelona.en-gb.html
1|Hostal Nova Barcelona|Rambla Badal 65, Sants-Montjuïc, 08014 Barcelona, Spain|"You're eligible for a Genius discount at Hostal Nova Barcelona! To save at this property, all you have to do is sign in.
Hostal Nova Barcelona offers accommodation in Barcelona. Sants Train Station is 1 km from the hostel. Bus stops V3 and 115 are just outside the accommodation.
All rooms are fitted with a flat-screen TV. Each room has a private bathroom. For your comfort, you will find free toiletries and a hairdryer.
A 24-hour front desk is available at the property.
The hostel also offers bike hire and car hire. Gran Vía 2 Shopping Centre is 1.1 km from Hostal Nova Barcelona, while Port of Barcelona Fuel De pot is 3.9 km from the property. The nearest airport is El Prat Airport, 9 km from the property; regular buses leave from a bus stop located just 200 m away."|https://www.booking.com/hotel/es/jacana-hosteleria-hospitalet-de-llobregat2.en-gb.html
2|Hostal Granvia 628|Gran Via de les Corts Catalanes 628, Eixample, 08007 Barcelona, Spain|"Set within 2.3 km of Barceloneta Beach and 2.3 km of Sant Miquel Beach, Hostal Granvia 628 features rooms with air conditioning and a private bathroom in Barcelona. Around 2.3 km from Somorrostro Beach, the property is also 100 m away from Passeig de Gracia and offers free WiFi. The accommodation offers a 24-hour front desk, room service and organising tours for guests.
The units in the hostel are equipped with a TV and a hairdryer.
Popular points of interest near Hostal Granvia 628 include Tivoli Theatre, Plaça Catalunya and Casa Batllo. The nearest airport is Barcelona El Prat Airport, 13 km from the accommodation."|https://www.booking.com/hotel/es/hostal-granvia-628.en-gb.html
3|Ako Suites Hotel|Diputació, 195, Eixample, 08011 Barcelona, Spain|"Ako Suites Hotel offers stylish apartments with free Wi-Fi and modern kitchenettes. It is located a 10-minute walk from Plaza Catalunya Square.
The Ako Suites have a sleek minimalist design and are decorated in light colours. A flat-screen TV and a double sofa bed can be found in each air-conditioned apartment.
Kitchenettes include a ceramic hob and a microwave. The elegant bathrooms have a bath or shower. Towels and amenities are also provided.
Ako Suites Hotel is located just 300 m from Universitat Metro Station and a 5-minute walk from an airport bus stop. Staff at the 24-hour reception is happy to provide information about the city."|https://www.booking.com/hotel/es/ako-suites.en-gb.html
4|Hostal Felipe 2|Mallorca, 329, Eixample, 08037 Barcelona, Spain|"Hostal Felipe 2 is located in a Modernista building just off Diagonal Avenue, less than 5 minutes’ walk from Verdaguer Metro Station. This guest house offers free Wi-Fi in all areas.
The Felipe’s rooms have a TV and either a private, or shared bathroom. All rooms are bright and have wooden flooring. The majority of the rooms have air conditioning and heating, and some have a balcony. Bed linen and towels are included.
The property has an area with computers which are available in the afternoon. You can also leave your luggage at reception, and safes are available.
There is a selection of restaurants and shops in the streets surrounding the Felipe 2. The famous Sagrada Familia is just a 10-minute walk away, while Passeig de Gràcia Boulevard and Gaudí’s La Pedrera are less than 1 km from the apartments.
Plaza de Catalunya and Las Ramblas can be reached in 20 minutes by Metro, while Sants Railway Station and Nord Bus Station are less than 3 km away."|https://www.booking.com/hotel/es/felipe-2.en-gb.html
5|CASA FILOMENA|95 Carrer Major de Sarrià, Sarrià-St. Gervasi, 08017 Barcelona, Spain|"You're eligible for a Genius discount at CASA FILOMENA! To save at this property, all you have to do is sign in.
Situated in Barcelona and with Camp Nou reachable within 2.1 km, CASA FILOMENA features express check-in and check-out, non-smoking rooms, a restaurant, free WiFi and a garden. Boasting family rooms, this property also provides guests with a terrace. The accommodation provides room service, and organising tours for guests.
The units at the guest house are fitted with a seating area. CASA FILOMENA offers some units that have garden views, and the rooms have a private bathroom and a desk. All rooms at the accommodation feature air conditioning and a wardrobe.
Guests at CASA FILOMENA can enjoy a continental or a kosher breakfast.
Tibidabo is 2.5 km from the guest house, while Park Güell is 3 km from the property. The nearest airport is Barcelona El Prat Airport, 12 km from CASA FILOMENA."|https://www.booking.com/hotel/es/casa-filomena-barcelona.en-gb.html
6|Hostal la Palmera|Jerusalem, 30, Ciutat Vella, 08001 Barcelona, Spain|"This pleasant guest house is set behind La Boqueria Market, 100 m from Las Ramblas. It offers bright rooms, a free Wi-Fi zone and 24-hour reception.
La Palmera’s air-conditioned rooms feature smart decor and laminate floors. All have a sink and bathrooms are shared or private. Sheets and towels are included.
The guest house offers coffee, tea and cold drinks for sale at reception. There are numerous bars, restaurants and shops within 2 minutes’ walk and Plaza Real Square is 300 m away.
Hostal la Palmera is 5 minutes’ walk from Barcelona Cathedral in the Gothic Quarter, while Gaudi’s La Pedrera and Casa Batlló are 20 minutes’ walk away.
Hostal la Palmera is 2 minutes’ walk from Liceu Metro Station. Direct buses to Barcelona El Prat Airport leave from Plaza Catalunya Square, 600 m away and Port Vell is 10 minutes’ away by foot"|https://www.booking.com/hotel/es/hostal-la-palmera.en-gb.html
7|Mayerling Abamita Apartments|Calle Ausias March, 25, Eixample, 08010 Barcelona, Spain|"You're eligible for a Genius discount at Mayerling Abamita Apartments! To save at this property, all you have to do is sign in.
Featuring air conditioning, Mayerling Abamita Apartments offers accommodation in Barcelona. Plaça Catalunya is 600 m from the property. Free WiFi is offered throughout the property.
The accommodation offers studios and rooms. The studios are equipped with a kitchenette with a ceramic hob. Both roomms and studios have, a  flat-screen TV, microwave and fridge. All have a private bathroom with a hairdryer. Towels and bed linen are featured.
Portal de l'Angel is 600 m from Mayerling Abamita Apartments, while La Seu, Cathedral of Barcelona is 700 m away. The nearest airport is Barcelona El Prat Airport, 13 km from Mayerling Abamita Apartments."|https://www.booking.com/hotel/es/mayerling-abamita-apartments.en-gb.html
8|Arc House Barcelona|Buenaventura Muñoz 16, Sant Martí, 08008 Barcelona, Spain|"This property is 12 minutes walk from the beach. Arc House is a youth hostel, located centrally in Barcelona, just 350 m from Arc de Triomf Metro Station. Free WiFi is available at the hostel and there are lockers in each room.
Mixed and same-sex dormitory rooms are available at Arc House, and all come with bunk beds and feature a bright interior. Bathrooms are shared.
Guests can make use of laundry facilities for a supplement. Lockers are also available and padlocks can be rented at reception.
The hostel offers access to computers, as well as a shared kitchen and dining area. Arc House provides luggage storage, a ticket service and a tour desk.
A range of bars, shops and restaurants are located 10 minutes' walk away. Plaza de Cataluña, Las Ramblas and La Barceloneta Beach are within 20 minutes´ walk. Barcelona El-Prat Airport is 16 km away"|https://www.booking.com/hotel/es/arc-house.en-gb.html
9|Hostal Sant Carlo|Plaça Urquinaona, 5 3º1ª, Eixample, 08010 Barcelona, Spain|"Situated right in Barcelona city centre, Hostal Sant Carlo is less than 3 minutes’ walk from Barcelona’s main tourist attractions such as the Plaza Catalunya, the Ramblas or the Passeig de Gracia.
Hostal Sant Carlo offers functional rooms with private or shared bathroom. They all have tiled floors, flat-screen TV and free Wi-Fi.
There is a 24-hour front desk where staff can provide information about the area. Urquinaona and Catalunya Metro Stations are less than 2 minute's walk of Hostal Sant Carlo.
Barcelona’s Cathedral and the Born and Gothic Districts can be reached within 10 minutes’ walk away.
Several shops, bars and restaurants can be found nearby."|https://www.booking.com/hotel/es/hostal-sant-carlo.en-gb.html
